	18
desert	1
belligerent	1
kinderhook	1
encomium	1
extending	1
21yearold	1
regular	1
germany	1
termlearn	1
letter	1
entry	1
retaining	1
imported	1
panic	1
depressionin	1
germans	1
tilden	1
presidentmortally	1
antitrust	4
grove	1
professor	3
lose	2
flow	1
accident	1
presidentin	2
treaty	11
ruthless	1
reputation	5
fugitives	1
newer	1
tayloralthough	1
stateshis	1
1767	2
came	10
reserve	2
discontent	1
rockies	1
bomb	1
printed	1
hunger	1
withstand	1
lewis	1
meetings	3
retire	1
nominated	11
ending	1
undue	1
treaties	1
radio	1
liberty	1
aspired	2
condemned	1
availability	1
capitol	1
elect	2
orleans	1
busy	1
painfully	1
skirmishes	1
louise	1
wilsontaft	1
nationhis	1
prolonged	1
buxom	1
minnesota	1
bust	1
sugar	1
bush	4
deepest	1
rich	1
pursuing	2
adequate	1
milton	1
polled	3
personality	1
executive	4
do	3
explorations	1
above	4
hancockas	1
hostility	2
watch	1
preferred	1
coast	2
platt	1
1941	1
12	6
spirit	2
despite	4
reconstruct	1
1787	1
represented	2
comply	1
14	6
earl	1
increasing	1
bar	2
wrested	1
legislation	9
fields	1
16	1
bay	1
irving	1
depressed	3
softly	1
18	1
ban	1
linguist	1
secretary	16
headed	2
disaster	2
swept	2
unanimously	1
wrest	1
graduate	2
reported	4
saddle	1
eleven	1
2005	1
unexpectedly	2
whigs	8
decided	4
dangers	1
result	4
cattle	1
corrupt	2
sporadic	1
resigned	7
best	2
techniques	1
reformto	1
said	7
pressured	3
ambitions	2
houseboth	1
away	7
1944	1
paternal	1
grandmother	1
tantamount	1
future	3
websterashburton	1
finger	1
winfield	3
example	2
drawn	1
nursie	1
approach	1
preserve	3
warrior	1
we	7
never	8
terms	8
bargains	1
extend	1
44th	1
slaverypolk	1
ricoin	1
were	26
eluded	1
however	3
boss	1
briefing	1
vernon	1
harvard	6
wear	1
70th	1
dedication	1
news	1
follette	1
tildenmonths	1
mexicodefeated	1
improve	2
suggested	2
received	13
protect	4
federalist	2
reoccupiedthe	1
country	15
ill	4
uncertainty	1
strongerto	1
against	26
presidentafter	1
informal	1
negative	1
mildly	2
distinction	1
contribution	2
obamas	1
confronted	2
ease	2
negotiation	1
interestswhen	1
skill	1
fillmore	1
prepared	2
appeared	7
had	35
wisdom	1
bethus	1
seizure	2
highpitched	1
illness	1
initiative	1
exerted	1
103	1
springs	2
trust	1
118000	1
san	1
conference	2
slaveryin	1
iraq	2
proceeded	2
countrys	1
union	17
futility	1
smash	1
three	12
been	13
quickly	2
beneficiary	2
commission	6
spread	1
wyman	1
interest	2
expected	3
undistinguished	1
entered	14
warmth	1
duties	4
threw	2
dry	1
life	16
families	2
justices	2
prosperous	1
attacked	5
stifle	1
republicans	13
excite	1
1849	1
generals	2
168	1
child	3
worked	8
sectionalismclay	1
160	1
safetyback	1
applied	1
unpopular	2
vetoing	2
conviction	2
presidency	22
apprehension	1
heartland	1
economies	1
westernerearly	1
air	2
axson	1
ugly	1
near	3
abrupt	1
teachers	1
stopping	1
aid	11
reconnaissance	1
balance	2
statehood	1
k	2
launched	1
weakens	1
harvardeducated	1
upgrade	1
seven	6
1840	2
trouncing	1
fourteenth	1
mexico	4
honorable	1
is	19
it	24
defeated	8
ii	9
voiced	1
yorkpresident	1
governmental	1
carteron	1
in	39
aggressors	1
campaigning	1
disappear	2
if	9
intellect	1
vanity	1
containing	1
1810	1
descent	2
1812	2
fatherless	1
things	1
make	7
povertyresponding	1
wound	1
1819	1
linked	1
beside	1
split	1
unfortunate	1
reasonsacting	1
several	5
184northern	1
emphatic	1
european	1
independent	2
moose	1
effected	1
cabinetlevel	1
controversiesas	1
wallacehis	1
theodore	2
frenchmen	1
declaring	2
drn	1
hang	2
mainstays	1
lyndon	1
hand	1
liberties	1
governmentsponsored	1
ownership	2
bunker	1
jealous	1
insisted	6
appearradical	1
10000000douglass	1
vermont	2
unionin	1
practiced	3
programs	4
1976	2
failing	3
1973	4
redeem	1
actionbush	1
safari	1
academic	1
charity	1
boxer	1
greatest	4
mother	6
claims	3
the	39
left	7
stringent	1
background	1
proposed	5
unemployment	3
dorothyat	1
distribute	1
unfair	1
overridden	1
himhis	1
councilman	1
human	3
yes	1
portrayed	1
succeeding	1
previous	1
1775	1
adding	1
1776	1
hills	1
candidate	13
sciences	1
regarded	1
assassination	3
character	3
dyedinthewool	1
postal	1
hay	1
jefferson	5
transformed	1
sustainedford	1
requiring	1
has	7
hat	1
expelled	1
gave	3
4036000	1
hermitage	1
africa	2
professional	1
posed	1
possible	1
implied	1
interior	1
mexicothis	1
bushs	1
completein	1
birth	1
30	2
judge	2
highly	1
advanced	1
d	4
desire	1
brought	13
martha	1
intertwined	1
58	1
54	2
56	1
51	1
alice	1
53	1
52	1
griefstricken	1
offices	4
officer	3
rarely	1
security	7
inclined	1
webb	1
embroiled	1
attorney	2
right	7
old	13
creek	2
deal	4
people	20
understand	1
homestead	1
successfully	6
enormously	1
somehow	2
dead	4
standing	4
aldrich	1
born	21
dedicating	1
hoover	1
1868	1
election	14
recovery	3
insistence	1
emissaries	1
contests	1
repeated	1
dimmick	1
seamen	1
cede	1
sociology	1
for	39
herring	1
ear	1
connecticut	2
killing	1
impetus	1
exposition	1
denied	2
generationsbush	1
steps	1
participation	1
1974	4
knew	2
enunciate	1
disappeared	1
tennesseeuntil	1
freedomand	1
paid	2
graduated	8
memorable	1
post	3
presidentgarfield	1
permitted	1
endorsing	1
claimspresident	1
lawall	1
flourished	1
cowboy	1
attacks	2
dollars	1
months	13
hostilities	1
submarine	1
costs	1
officeholders	2
dinner	3
airline	1
ensure	2
steadily	1
connected	1
efforts	7
hithe	1
uranium	1
automatically	1
nixon	3
considerations	1
raised	6
indians	2
statements	1
mamie	1
shenandoah	1
civil	17
marshall	2
obtaining	2
bound	1
son	11
down	4
emancipation	1
ussr	1
doctrine	6
electorate	1
easy	1
reducing	1
frightened	1
programthe	1
east	2
droughtstricken	1
peoples	2
weathered	1
pearl	2
support	6
flying	1
illustrious	1
nationalisthe	1
fight	5
fought	7
authorized	2
way	10
jane	1
discouraging	1
factions	3
was	39
war	33
cloth	1
therefore	2
lowest	2
antagonized	1
weaponspresident	1
offering	1
offer	2
paynealdrich	1
becoming	4
differences	2
forever	1
ceded	2
ford	3
failure	2
torpedo	1
penned	1
elderly	1
indiana	3
noneroosevelt	1
sustained	1
removed	3
true	3
especially	2
unsuccessful	1
bypassing	1
duel	1
responding	1
tampico	1
captive	1
la	1
inside	1
morning	1
attached	1
bargain	1
plymouth	2
northerner	1
traffickerbushs	1
baton	1
unusually	1
reelectionbut	1
measuresin	1
trim	1
later	22
liberal	3
puerto	1
fury	2
wealthy	3
warring	1
noriega	1
evidence	2
warfeeling	1
stanford	1
exist	1
promised	2
acclaimed	1
prayer	1
racheljackson	1
allegheny	1
responded	1
check	1
liberalism	1
regime	2
crutches	1
vista	1
protested	1
momentum	2
pledging	1
no	16
demonstrate	1
generally	3
faminestricken	1
cambodia	1
reality	1
successful	2
antidrug	1
interested	2
republic	3
holding	1
test	3
tie	1
irresistible	1
confederacylincoln	1
expose	1
realize	1
steamship	1
himat	1
enlarge	1
permitting	1
hurled	1
delivered	4
felt	9
utilities	1
englanderhoped	1
assiduous	1
fell	7
exported	1
establish	4
scores	1
itin	1
1928by	1
died	28
billion	2
younger	1
1804	1
1802	1
bullet	1
disruption	2
assume	3
vigorously	4
volunteersmeanwhile	1
together	5
1808	2
forswear	1
loyal	1
longed	1
lincolnin	1
time	18
serious	3
precedent	1
undeviating	1
yearshe	1
shop	1
irrigation	1
coach	1
cincinnati	3
russianew	1
corps	1
affair	1
consul	1
global	2
bombed	1
specie	1
themes	1
pierces	1
capture	1
grateful	1
battle	6
bomber	1
americansfords	1
idealism	1
worksinclined	1
1948	3
hold	2
historyin	2
laura	1
sealanesdespite	1
1942	1
1943	1
1940	3
iraqs	1
father	8
methodically	1
uneasy	1
passage	2
environment	1
0	1
finally	6
compensate	1
dissatisfied	1
selfgovernment	1
donnel	1
terror	1
pay	2
suffered	2
pulitzer	1
veterans	1
southwest	1
widescale	1
adviser	1
protective	2
none	2
ohiosafe	1
choice	4
officialsin	1
advised	1
word	2
trouble	3
nor	2
recuperate	1
governments	2
goldwhich	1
wroteeisenhower	1
ignored	1
presented	4
did	15
philippines	2
registered	1
democrat	5
ascertaining	1
augmenting	1
leave	2
settle	5
excellence	1
encroach	1
inscribed	1
teaching	1
diaristafter	1
possibility	2
prevent	2
revolution	4
fearing	1
carow	1
trend	1
regained	1
warsending	1
injunction	2
agitate	1
overhaul	1
ownford	1
invaded	1
delight	1
nationnapoleon	1
landingsome	1
photographed	1
fort	2
port	2
afghanistan	2
indochina	1
constitution	6
spiro	1
eliza	1
celebrated	1
brink	1
transcontinental	1
optimismon	1
suspect	1
recast	1
international	5
staff	2
pershing	1
heralded	1
foreverin	1
proclaiming	2
hayess	1
republicansectionalism	1
transparency	1
finallytwo	1
heavily	1
legality	1
clerk	1
widow	1
subsided	1
french	5
agreement	4
liquors	1
presidenton	1
communism	2
baseball	1
address	8
alone	2
along	3
refused	6
teacher	2
momentous	1
planter	2
sending	1
biblecoolidge	1
comptroller	1
stormy	1
canadian	2
institute	1
shift	2
studied	4
guilty	1
widening	1
proud	2
trial	1
accomplished	1
responsibilityhis	1
franklin	3
suggestion	1
usually	1
quarrel	2
studies	1
pattern	1
monterrey	1
annexedthe	1
emerge	1
tasks	1
retired	7
morals	1
victorynegotiating	1
marvels	1
sign	1
marked	1
conklings	2
specified	1
losing	2
distinctionas	1
crisis	9
market	2
unilateral	1
sympathetic	1
cityactive	1
resources	1
troops	7
working	4
prove	1
sake	1
positive	1
angry	2
visit	2
france	7
territories	3
cherished	1
opposed	8
negroes	2
conservation	3
cooperated	1
patriot	1
today	2
stomach	2
dismay	1
entrance	1
sharing	1
kerry	1
worldsome	1
faith	2
acceptable	2
apparent	2
choicewithin	1
limitation	1
oregon	3
asserting	1
commissioned	1
virtue	2
cautioned	1
cases	1
effort	1
inhabit	1
behalf	2
trumans	1
slogan	3
actunder	1
pushed	1
roscoe	2
reelected	4
rutherford	1
soul	1
believer	1
impasse	1
participating	1
values	2
can	3
growing	3
making	3
carolina	4
completing	1
unfairly	2
attain	1
unfolding	1
claim	4
dedicated	1
citizens	2
incessantly	1
lobbying	1
december	10
subsidies	2
agent	1
percenton	1
heard	1
stroke	2
chin	1
dropped	2
council	1
societyhe	1
81000000	1
230	1
evidently	1
233	1
gentler	1
unwavering	1
productive	1
disruptive	1
stricken	1
cruel	1
divided	2
eloquent	1
sudden	1
innumerable	1
write	1
vital	1
alikeafter	1
recuperating	2
holland	1
plus	2
sworn	2
retorted	3
undertook	2
economy	5
product	1
themborn	1
ratesin	1
critics	2
sacrifice	1
spot	1
crashed	1
merchantmen	1
produce	1
tipped	1
designed	1
improving	1
such	5
heroes	1
destructive	1
nomination	15
eighth	2
slaveholders	1
man	11
relinquish	1
released	1
badlands	1
succeeded	5
consequently	1
st	2
gap	1
tailor	1
so	14
block	1
cannon	1
african	1
tall	5
truce	2
pulled	1
1857	1
talk	2
framing	1
howard	1
serving	4
governorship	1
privation	1
martyr	1
indeed	3
pointed	2
northampton	1
displayed	1
years	31
stability	1
course	6
1926	1
reunionthe	1
maneuvered	2
limitationsthe	1
cuts	2
westerners	1
cold	3
still	8
colorado	1
1832	2
1833	1
1830	1
1831	2
group	5
1837	2
wallace	1
how	2
handgun	1
ibehind	1
1839	1
troubles	2
platform	4
depressiondeclaring	1
hanna	1
policy	13
suspension	1
votewilson	1
bipartisan	1
decades	3
texas	11
correspondence	1
prime	1
johns	1
finance	1
views	5
matches	1
devastated	1
radicals	1
mccardle	1
shatter	1
krueger	1
nation	17
brigadier	1
singleminded	1
compelled	2
1950	2
1953	4
1952	2
not	31
now	7
killed	5
handiwork	1
enacted	5
osama	1
term	9
attorneys	1
name	5
hickory	1
neutrality	1
wifein	1
january	12
4300000	1
debating	2
establishing	2
conscientious	1
accomplishments	1
warby	1
1751	1
rock	2
entirely	1
quarter	2
quarantine	1
juncture	1
domain	1
en	1
christian	1
fired	1
racial	2
challenged	1
steven	1
directing	1
indianapolis	1
18th	2
challenges	1
balanced	3
fires	1
persian	1
farewell	1
yield	1
begun	1
year	11
assumption	2
naming	1
calling	1
farmerhe	1
plans	4
canada	1
living	2
ultimately	1
policyhe	1
jackson	6
opened	6
space	2
tensions	3
increase	2
attracted	1
1955the	1
investigation	1
financed	1
emerged	3
dutch	1
terrorist	1
churches	1
receiving	2
intended	2
attended	10
unemployed	2
vistapresident	1
disintegrated	1
unexpected	1
riots	1
1952i	1
million	3
hiram	1
quite	1
cut	5
recordings	1
tafts	1
california	6
rebel	1
plea	1
skillfully	1
notary	1
remainder	1
card	1
care	3
patronage	4
advance	2
fixed	1
1994	1
twentyfifth	1
mckinleys	1
hoarse	1
british	7
honest	5
thing	2
livingston	1
place	5
massive	2
loose	1
blacksmith	1
charleston	1
tippecanoeborn	1
warning	1
think	1
frequent	1
first	26
spiraled	1
cheese	1
1970ronald	1
revenue	3
bed	1
manofwarmonroe	1
22	3
ecology	1
one	15
hopes	1
americans	10
long	5
suspended	2
spanish	1
vote	9
impossible	1
message	5
drove	1
open	1
george	8
millions	4
city	8
given	2
officials	1
wrath	1
district	5
humphrey	1
caught	2
unduly	1
callous	1
expectationscarter	1
plains	1
returns	1
2	2
draft	2
alfred	2
convention	13
legally	2
white	16
wore	1
participated	2
powerroosevelts	1
friend	5
gives	1
penitentiary	1
mining	1
quay	1
applejohn	1
allegedly	1
that	38
moscow	2
1872born	1
resulted	2
hillary	1
jacksonthe	1
eliminated	2
seat	3
undoubtedly	1
than	20
inventor	1
11	3
television	2
cracks	1
15	2
unfortunately	2
1921	2
19	2
favors	2
yet	3
diplomatic	5
manduring	1
youve	1
monopolies	1
protected	1
emphasis	1
antifederalists	1
1924	4
movingly	1
oath	5
russia	7
tippecanoesuddenly	1
and	39
troublesome	1
kuwait	1
voters	1
ferraroin	1
remained	6
41st	1
ann	1
greece	1
turned	4
head	1
happily	2
say	2
dislike	1
partythe	2
nominating	2
wilsons	1
lynnafter	1
climaxed	2
saw	5
any	10
sat	1
prosperity	6
speakers	2
cuyahoga	1
senateby	1
manufacturers	1
canton	1
note	1
dining	1
ideal	1
counseled	1
take	7
objective	1
destroy	1
concern	1
blunt	1
relaxed	1
200	1
begin	2
thirdparty	1
thurlow	1
theatre	1
opposite	1
dispute	3
nationsaffording	1
sherman	4
eldest	1
woodrow	2
pastor	1
assault	1
arkansass	1
occurred	1
librarian	1
america	9
frightful	1
conspicuous	1
precedents	1
michelle	1
cuban	1
operate	1
registering	1
frontporch	1
considered	3
stalematesectional	1
reform	9
sale	2
mrs	1
ways	4
1826	1
trafficking	1
slaves	5
subsequent	1
reiterated	1
atlantic	2
amendment	3
abraham	3
salt	1
trembled	1
laws	3
heartsit	1
resthe	1
madison	4
secessionwere	1
shot	6
surplus	2
popularcongress	1
marshalled	1
german	1
reinvigorate	1
segregation	1
cheap	1
accession	1
merit	2
discovered	1
1818	1
1872hayes	1
dday	1
lifein	1
maine	1
fifth	1
ground	2
tavernkeeper	1
cabin	3
gulf	1
genius	1
destruction	1
proclamation	1
devote	1
state	21
crime	2
filipinos	1
cornwallis	1
only	19
explicitly	1
black	4
ceremonies	1
treasury	4
jeered	1
caroline	1
mugwumps	1
congressional	3
interstate	2
directed	4
presbyterian	2
africanamerican	1
reconquest	1
assistant	2
samuel	1
expectation	1
countered	1
soon	6
impressment	1
hailed	2
nearly	4
introduced	1
ita	1
deductions	1
gen	7
celebrate	1
secondary	1
closure	1
1829	1
1828	2
custis	1
outraged	1
1825	1
1824	3
seldom	1
hamilton	2
1821	2
1823	1
1822	2
saxton	1
paper	1
roger	2
bombs	2
prescottas	1
through	17
highlevel	1
where	11
hinged	1
vision	2
annexed	1
mississippibut	1
declared	7
yorkas	1
temperance	1
honesty	1
enact	2
burst	1
encourages	1
violated	2
committed	3
stipulation	1
relative	1
elected	28
1922	1
1923	1
college	21
us	5
eliminating	2
milwaukee	1
1928	3
hastened	1
aroused	2
jobsin	1
firstballot	1
staffed	1
voluntary	1
mortgage	2
farmers	2
federal	20
jumped	2
review	1
representatives	10
yorktownwashington	1
weapons	4
enough	7
un	1
between	11
teens	1
bombing	1
across	1
caucus	1
ought	3
whispered	2
jobs	2
august	7
negotiations	3
marvin	1
screen	1
joe	1
26	2
jr	2
ascribed	1
exhortations	1
adept	1
jovial	1
hurts	1
rapidly	5
cities	3
come	2
concentrated	1
reaction	1
blistering	1
mans	1
acquiring	1
missions	2
libya	1
efficiency	1
many	15
region	2
quiet	2
contract	1
malia	1
prompted	1
pray	1
tour	3
disappointment	3
desperately	1
reluctantly	2
senator	15
1840s	1
expression	1
nearby	1
duty	2
among	6
28	1
mandate	1
marriedpresiding	1
nobel	1
period	1
antidiscrimination	1
itlincoln	1
satisfaction	1
gaiety	1
maintained	3
strengthening	1
confirmed	1
learning	1
comeback	1
69	1
endeavor	1
secede	1
polk	2
boat	2
caring	1
better	1
arts	3
subscribed	1
buren	4
west	11
rebuild	1
detected	1
slum	1
mark	1
deserters	1
bequeathed	1
combined	2
peaceful	3
partisanship	1
women	1
transactions	1
capably	1
crawford	1
mary	4
lifei	1
engine	1
educated	1
irans	1
shortages	1
resignford	1
thousand	2
formed	5
andrew	6
wounds	1
regency	1
1828well	1
dramatic	2
wake	1
minister	9
declaration	3
quick	1
former	5
those	5
pilot	1
myself	1
kappa	1
halls	1
developing	3
these	8
mount	1
polls	2
prominence	1
blythe	1
profiles	1
hayes	2
admired	1
cast	2
1980	4
ally	1
policies	7
freely	1
1898	2
endured	1
margin	7
50s	1
pardonsby	1
tourists	1
soil	2
engaged	1
telephone	1
1836	3
thiswill	1
middle	6
recounted	1
someone	1
drug	2
dangerously	1
kenya	1
uninspiring	1
policythe	1
symbolizes	1
expenditures	3
williams	1
develop	1
residence	1
strains	1
scalpedelected	1
graham	1
annapolis	1
reconstructed	1
s	5
same	11
43rd	1
forebodings	1
followers	2
angered	2
manila	1
franceafter	1
document	1
events	2
pan	1
status	2
jeffrey	1
oil	3
leonid	2
hanks	1
refusal	1
appointmentand	1
weed	1
dieof	1
persons	2
running	9
prospered	2
wired	1
arose	1
purposesbefore	1
motorcade	1
changing	1
stingingly	1
presidenthis	1
tradition	2
squatter	1
complained	2
escorts	1
eventual	1
band	1
pennsylvania	2
iraqis	1
floor	1
constitutional	6
presidentfillmore	1
eureka	1
severe	1
without	5
solve	1
congressmen	1
restricting	1
easing	1
compromisethen	1
grounds	1
charged	2
coinage	1
gaining	1
being	6
money	5
guided	1
actress	1
risking	1
oxford	1
violent	2
kill	1
actor	1
harrison	3
crusaded	1
1896after	1
minimized	1
infantryharrison	1
captured	2
death	12
preponderantly	1
widest	2
womans	1
thinking	1
rose	4
seems	1
except	4
silver	3
formative	1
treatment	1
overthrow	2
actors	1
extensive	1
heavier	1
unfinished	1
projectshe	1
dolley	1
houseduring	1
starving	1
establishments	1
negotiating	1
around	6
spectacular	3
bryan	3
read	3
49th	1
dealing	1
virginia	8
anticommunist	1
senior	1
gestures	1
vilifying	1
inflation	4
traffic	1
19thcentury	1
brezhnev	2
transcended	1
world	14
railroad	6
accepted	5
lady	3
dare	1
whittier	1
acute	4
braddock	1
macarthur	1
heightened	1
kennedy	4
collective	1
acidly	1
greeting	1
hamiltons	1
clays	3
facing	2
invention	1
t	1
clay	5
congressthe	1
served	22
downward	1
reduced	2
3000	1
deficiencies	1
pickled	1
pacific	5
lucy	1
japanese	4
calculated	1
imperialism	1
respect	1
hemorrhage	2
prerogatives	1
1858	3
provided	3
scholarships	1
caribbean	1
mood	1
armydespite	1
confirm	2
1850	3
fedafter	1
1852	1
1853	1
recorded	1
embittered	1
1856	4
conservative	6
perpetuated	1
critical	1
deficit	3
privilegehis	1
deteriorated	1
moderate	4
decent	1
jrwas	1
severed	1
unsuccessfully	2
considering	1
football	2
scientific	1
business	10
sixth	1
claudia	1
jennings	3
unusual	1
1933	1
sports	3
jacksons	2
leadership	7
1937	2
visits	1
1935	1
found	2
exciting	1
aide	1
earlier	2
on	38
coldly	1
central	6
hopkins	1
roar	1
of	39
disabilities	1
violence	2
favorite	2
reinforcing	1
thousands	1
chop	1
restoration	2
medicare	1
stand	5
pockets	1
act	12
tariffs	2
assassin	1
deranged	1
or	20
road	1
tape	1
detente	1
begunthe	1
widowed	1
lands	6
protests	1
maureen	1
feeling	2
aerial	1
quasi	1
garb	1
blessed	1
observatory	1
everyone	1
rising	3
castro	1
parties	4
auspiciously	1
neil	1
provisothe	1
your	2
intervention	3
assemblywhen	1
rewarded	1
goodhue	1
log	3
her	7
area	3
reluctance	1
assumed	1
strictly	1
there	14
1735	1
philadelphia	2
sides	1
start	1
unspoken	1
